序号,合作银行简称,合作业务规模,
,,业务规模（万元）,规模占比
8,榆正担保,0.99%,4.16%,5.15%
9,渭南担保,0.76%,4.56%,5.32%
10,西安创新担保,0.88%,4.61%,5.49%
11,白水担保,0.77%,4.76%,5.53%
12,佳县担保,0.16%,5.53%,5.69%
13,浐灞担保,0.96%,4.81%,5.77%
14,高陵担保,0.73%,5.22%,5.95%
15,清涧担保,0.07%,5.91%,5.98%
16,大荔担保,0.64%,5.37%,6.01%
17,咸阳担保,0.78%,5.32%,6.1%
18,商洛担保,0.93%,5.25%,6.18%
19,西咸担保,0.81%,5.38%,6.19%
20,神木担保,0.74%,5.46%,6.2%
21,曲江文化担保,0.83%,5.43%,6.26%
22,宝鸡担保,0.82%,5.69%,6.51%
23,铜川担保,0.77%,6.05%,6.82%
24,蒲城担保,0.79%,6.07%,6.86%
25,吴堡担保,0.1%,6.92%,7.02%
26,子洲担保,0.1%,7.11%,7.21%
27,榆林担保,0.22%,7.08%,7.3%
28,汉中担保,0.52%,6.82%,7.34%
29,延安担保,0.98%,6.43%,7.41%
30,西安小微担保,0.79%,6.67%,7.46%
31,安康担保,0.65%,6.82%,7.47%
32,靖边担保,0.3%,7.35%,7.65%
33,绥德担保,0.04%,8.28%,8.32%
34,澄城担保,0.83%,7.68%,8.51%
35,安塞担保,0.72%,7.92%,8.64%
36,米脂担保,0.63%,8.64%,9.27%
37,黄陵担保,0.55%,8.8%,9.35%
38,吴起担保,0.82%,9.58%,10.4%
39,子长担保,0.5%,10.93%,11.43%
40,循环担保,1%,11.87%,12.87%
41,商州担保,0.95%,15.02%,15.97%
合计,,0.76%,6.35%,7.11%
﻿序号,所属区域,分险业务规模(万元）,同比增减,分险业务占比
1,西安市,2037327.79,10.52%,86.35%
2,榆林市,495550.86,9.77%,97.7%
3,宝鸡市,354448.48,-0.69%,93.66%
4,延安市,338034.5,23.73%,99.35%
5,咸阳市,317406.01,9.28%,85.98%
6,安康市,243463.68,17.59%,96.46%
7,渭南市,122171.77,4.02%,83.29%
8,汉中市,126917.08,7.86%,96.65%
9,铜川市,83232.08,-11.2%,99.59%
10,商洛市,70440.39,-7.81%,79.81%
11,杨凌区,14132.59,-12.46%,78.81%
合计,,4203125.23,9.35%,89.91%
